date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:54:38	108/108	---M--	200	added ('OK')	text/plain	etag:%2263f69628-6c%22	https://queenszoo.com/robots.txt		(from )
12:54:39	54121/54121	---MCZ	200	added ('OK')	text/html	etag:W/%2277a8b7e5eed2f3a0127e7f24a3c18b96%22	https://queenszoo.com/	e:/My%20Web%20Sites/queen/queenszoo.com/index.html	(from )
12:54:40	97191/97191	---M--	200	added ('OK')	image/jpeg	etag:%22e3c69f96da232e5ccaa282e0674deb24%22	https://cdn.wcs.org/2022/05/23/9cpppxbiqc_QZ_winter_2020_1.jpg	e:/My%20Web%20Sites/queen/cdn.wcs.org/2022/05/23/9cpppxbiqc_QZ_winter_2020_1.jpg	(from https://queenszoo.com/)
12:54:41	283964/283964	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Jul%202024%2018:18:03%20GMT	https://queenszoo.com/assets/application-6c2f93c5548c3787359a7a1c0b6d2c7bb2408556cc90ec4c2e04f8d168a15d5c.css	e:/My%20Web%20Sites/queen/queenszoo.com/assets/application-6c2f93c5548c3787359a7a1c0b6d2c7bb2408556cc90ec4c2e04f8d168a15d5c.css	(from https://queenszoo.com/)
12:54:41	5943/5943	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Feb%202023%2022:24:40%20GMT	https://queenszoo.com/assets/wcsorg/favicons/apple-touch-icon-144x144-faa2945b3e8edac1858a77c4424b1d9333239d4eb43fe410c286c8cc8ba69b51.png	e:/My%20Web%20Sites/queen/queenszoo.com/assets/wcsorg/favicons/apple-touch-icon-144x144-faa2945b3e8edac1858a77c4424b1d9333239d4eb43fe410c286c8cc8ba69b51.png	(from https://queenszoo.com/)
12:54:41	7382/7382	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Feb%202023%2022:24:40%20GMT	https://queenszoo.com/assets/wcsorg/favicons/apple-touch-icon-152x152-eb77b06d48181f5a57f6ab06c6a39b9722d6966516467a8aa52bdada0e50d479.png	e:/My%20Web%20Sites/queen/queenszoo.com/assets/wcsorg/favicons/apple-touch-icon-152x152-eb77b06d48181f5a57f6ab06c6a39b9722d6966516467a8aa52bdada0e50d479.png	(from https://queenszoo.com/)
12:54:41	892/892	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Feb%202023%2022:24:40%20GMT	https://queenszoo.com/assets/wcsorg/favicons/favicon-32x32-17bdc7cdbfebffe2c4d4abfb54a005fce54db37c3b0031011b30af719dc6a9fb.png	e:/My%20Web%20Sites/queen/queenszoo.com/assets/wcsorg/favicons/favicon-32x32-17bdc7cdbfebffe2c4d4abfb54a005fce54db37c3b0031011b30af719dc6a9fb.png	(from https://queenszoo.com/)
12:54:42	437/437	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Feb%202023%2022:24:40%20GMT	https://queenszoo.com/assets/wcsorg/favicons/favicon-16x16-f0ed3023dc5775effa3805bb1b75fff05b0690e40213dd79cef87c484256ff4a.png	e:/My%20Web%20Sites/queen/queenszoo.com/assets/wcsorg/favicons/favicon-16x16-f0ed3023dc5775effa3805bb1b75fff05b0690e40213dd79cef87c484256ff4a.png	(from https://queenszoo.com/)
12:54:42	5611/5611	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Feb%202023%2022:24:40%20GMT	https://queenszoo.com/assets/wcsorg/favicons/mstile-144x144-620c46ea2e0217a6fad692e02402566b52441246edffea3a1607453c72fab969.png	e:/My%20Web%20Sites/queen/queenszoo.com/assets/wcsorg/favicons/mstile-144x144-620c46ea2e0217a6fad692e02402566b52441246edffea3a1607453c72fab969.png	(from https://queenszoo.com/)
12:54:42	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	e:/My%20Web%20Sites/queen/www.google-analytics.com/analytics.js	(from https://queenszoo.com/)
12:54:44	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2031%20Aug%202024%2009:54:43%20GMT	http://www.googletagmanager.com/gtm.js?id=	e:/My%20Web%20Sites/queen/www.googletagmanager.com/gtm.85445.delayed	(from https://queenszoo.com/)
12:54:44	6389/6389	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2022%20Feb%202023%2022:24:40%20GMT	https://queenszoo.com/assets/update-7d819bb81b998a967b6e9065cfd885865ba9aee7f8a2afd6c763af78b3f01d6a.js	e:/My%20Web%20Sites/queen/queenszoo.com/assets/update-7d819bb81b998a967b6e9065cfd885865ba9aee7f8a2afd6c763af78b3f01d6a.js	(from https://queenszoo.com/)
12:54:46	38701/38701	---MCZ	200	added ('OK')	text/html	etag:W/%221e3022c0649f1cd37684a3a725e7de05%22	https://queenszoo.com/donate	e:/My%20Web%20Sites/queen/queenszoo.com/donate.html	(from https://queenszoo.com/)
12:54:46	499889/499889	---M--	200	added ('OK')	image/jpeg	etag:%22baca8bf92685e0e15811ff25b38e4082%22	https://cdn.wcs.org/2023/11/20/15/07/06/c772fbfe-8bb3-4341-b307-45827ad4d96e/file.jpg	e:/My%20Web%20Sites/queen/cdn.wcs.org/2023/11/20/15/07/06/c772fbfe-8bb3-4341-b307-45827ad4d96e/file.jpg	(from https://queenszoo.com/)
12:54:46	96399/96399	---MCZ	200	added ('OK')	text/html	etag:W/%22b92387e279e0db3fab837f35f9af701a%22	https://queenszoo.com/membership	e:/My%20Web%20Sites/queen/queenszoo.com/membership.html	(from https://queenszoo.com/)
12:54:46	122/122	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2031%20Aug%202024%2009:54:46%20GMT	https://queenszoo.com/tickets	e:/My%20Web%20Sites/queen/queenszoo.com/tickets	(from https://queenszoo.com/)
12:54:47	29741/29741	---MCZ	200	added ('OK')	text/html	etag:W/%22d8c5f005a02a9e25c9c1b3e3306c8d48%22	https://queenszoo.com/shop/ticket-options	e:/My%20Web%20Sites/queen/queenszoo.com/shop/ticket-options.html	(from https://queenszoo.com/)
12:54:47	16369/16369	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Feb%202023%2022:24:40%20GMT	https://queenszoo.com/assets/logos/queenszoo-e6519bb3b976a8a673acf79ec93327654b77a1d409ebda099fd12fe6e05fef99.png	e:/My%20Web%20Sites/queen/queenszoo.com/assets/logos/queenszoo-e6519bb3b976a8a673acf79ec93327654b77a1d409ebda099fd12fe6e05fef99.png	(from https://queenszoo.com/)
